image_type,min_quality,max_quality,colors,speed,dither,posterize,runtime_ms,compression_ratio,quality_ok
scatter,30,100,256,8,0.5,1,19.266624999999998,2.208421628272609,true
scatter,30,100,256,8,0.5,2,19.758541,1.3611544133136717,true
scatter,30,100,256,8,0.5,3,19.141125,1.3704504963094934,true
scatter,30,100,256,8,0.5,4,18.703042,1.4514781202264355,true
scatter,30,100,256,8,1.0,0,19.339333,2.2082706766917295,true
scatter,30,100,256,8,1.0,1,19.4215,1.9084948015122873,true
scatter,30,100,256,8,1.0,2,19.686041000000003,1.100712071138973,true
scatter,30,100,256,8,1.0,3,20.14975,1.2707784289816308,true
scatter,30,100,256,8,1.0,4,20.725041,1.401787651321213,true
scatter,30,100,256,10,0.0,0,17.475875,2.2676352916403455,true
scatter,30,100,256,10,0.0,1,17.645542,2.2570210982255134,true
scatter,30,100,256,10,0.0,2,16.895667,2.388334442226658,true
scatter,30,100,256,10,0.0,3,16.809416000000002,2.7397388059701493,true
scatter,30,100,256,10,0.0,4,19.161333,3.1256772445820435,true
scatter,30,100,256,10,0.5,0,19.554375,2.238722195274063,true
scatter,30,100,256,10,0.5,1,19.267584,2.208421628272609,true
scatter,30,100,256,10,0.5,2,18.998792,1.3611544133136717,true
scatter,30,100,256,10,0.5,3,18.817917,1.3704504963094934,true
scatter,30,100,256,10,0.5,4,19.006625,1.4514781202264355,true
scatter,30,100,256,10,1.0,0,19.081583,2.2082706766917295,true
scatter,30,100,256,10,1.0,1,19.551292,1.9084948015122873,true
scatter,30,100,256,10,1.0,2,19.544167,1.100712071138973,true
scatter,30,100,256,10,1.0,3,19.27625,1.2707784289816308,true
scatter,30,100,256,10,1.0,4,19.4205,1.401787651321213,true
scatter,70,100,8,1,0.0,0,NaN,0.0,false
scatter,70,100,8,1,0.0,1,NaN,0.0,false
scatter,70,100,8,1,0.0,2,NaN,0.0,false
scatter,70,100,8,1,0.0,3,NaN,0.0,false
scatter,70,100,8,1,0.0,4,NaN,0.0,false
scatter,70,100,8,1,0.5,0,NaN,0.0,false
scatter,70,100,8,1,0.5,1,NaN,0.0,false
scatter,70,100,8,1,0.5,2,NaN,0.0,false
scatter,70,100,8,1,0.5,3,NaN,0.0,false
scatter,70,100,8,1,0.5,4,NaN,0.0,false
scatter,70,100,8,1,1.0,0,NaN,0.0,false
scatter,70,100,8,1,1.0,1,NaN,0.0,false
scatter,70,100,8,1,1.0,2,NaN,0.0,false
scatter,70,100,8,1,1.0,3,NaN,0.0,false
scatter,70,100,8,1,1.0,4,NaN,0.0,false
scatter,70,100,8,4,0.0,0,NaN,0.0,false
scatter,70,100,8,4,0.0,1,NaN,0.0,false
scatter,70,100,8,4,0.0,2,NaN,0.0,false
scatter,70,100,8,4,0.0,3,NaN,0.0,false
scatter,70,100,8,4,0.0,4,NaN,0.0,false
scatter,70,100,8,4,0.5,0,NaN,0.0,false
scatter,70,100,8,4,0.5,1,NaN,0.0,false
scatter,70,100,8,4,0.5,2,NaN,0.0,false
scatter,70,100,8,4,0.5,3,NaN,0.0,false
scatter,70,100,8,4,0.5,4,NaN,0.0,false
scatter,70,100,8,4,1.0,0,NaN,0.0,false
